11:6|6:38
11:7|7:54,10:3,25:59,32:4,57:4
11:10|41:50
11:13|10:38\n
11:14|28:50
11:17|13:1,40:59
11:18|2:114,6:21,6:93,29:68,61:7
11:19|7:45\n
11:21|6:24,7:53\n
11:22|16:109\n
11:25|7:59,23:23
11:26|43:65
11:26|46:21
11:27|7:60,7:66,7:90,23:24,23:33
11:28|11:63,11:88
11:29|11:51
11:31|6:50
11:36|12:69
11:37|23:27
11:40|23:27
11:49|3:44,12:102
11:50|7:65
11:52|71:11,71:12/
11:53|10:78\n
11:57|9:39
11:58|11:66,11:94
11:60|11:99
11:61|7:73,7:85,11:64
11:62|14:9
11:67|7:78,7:91,11:94\n
11:68|11:95
11:69|29:31
11:70|51:28
11:77|29:33
11:81|15:65
11:82|15:74
11:84|7:85,11:85,29:36
11:93|6:135,39:39
11:96|40:23,43:46\n
11:110|41:45\n
11:112|42:15
11:117|6:131,28:59
11:119|7:18,38:85
12:2|43:3\n
12:18|12:83
12:21|12:56
12:22|12:59,12:65,12:68,12:69,12:94
12:22|28:14\n
12:40|7:71,53:23
12:40|9:36,30:30
