18:75,18:76|18:72,18:73/18:67,18:68
18:78|18:82
18:106|17:98
18:110|41:6
19:4|19:48\n
19:9|19:21
19:10|3:41
19:14,19:15|19:32,19:33/\n
19:31|19:55
19:36|3:51,43:64\n
19:37|43:65\n
19:52|20:80
19:58|4:69
19:60|25:70,28:67
19:62|56:25,78:35
19:73|8:31,10:15,22:72,31:7,34:43,45:25,46:7
19:73|29:12,36:47,46:11
19:74|19:98
19:76|18:46\n
19:90|42:5
19:97|44:58
20:9,20:10|79:15,79:16/
20:10|28:29,27:7
20:12|79:16
20:16|28:87
20:22|28:32
20:24|20:43,79:17\n
20:40|28:12,28:13
20:47|26:16
20:53|43:10
20:54|20:128\n
20:65|7:115
20:66|7:116,10:81,26:44
20:70|7:120,7:121,7:122/26:46,26:47,26:48
20:71|7:123,26:49
20:77|26:52
20:86|7:150
20:89|5:76,6:71,7:188,10:49,10:106,13:16,21:66,25:3,25:55,34:42
20:102|6:73,27:87,78:18
20:109|34:23
20:114|23:116
20:116|2:34,7:11,15:31,17:61,18:50,38:74
20:123|2:38
20:128|6:6,17:17,32:26,36:31,38:3
20:130|50:39
20:131|15:88
20:134|28:47
