21:2|26:5\n
21:7|12:109,16:43,21:25,22:52
21:16|44:38\n
21:28|23:57\n
21:35|3:185,29:57
21:38|10:48,27:71,32:28,34:29,36:48,67:25\n
21:41|6:10,13:32\n
21:44|43:29
21:47|31:16
21:66|5:76,6:71,7:188,10:49,10:106,13:16,20:89,25:3,25:55,34:42
21:70|37:98\n
21:71|21:81
21:72|6:84,29:27
21:73|24:37
21:73|32:24,28:41
21:74|21:77
21:75|21:86\n
21:76|37:76,37:115\n
21:83|38:41
21:84|38:43
21:91|66:12
21:92|23:52
21:93|23:53
21:109|72:25
22:3|22:8,31:20\n
22:5|35:11,40:67
22:5|16:70
22:7|40:59
22:14|22:23
22:17|2:62,5:69
22:18|10:66,27:87,39:68
22:22|32:20
22:23|18:31,35:33
22:26|2:125
22:34|22:67
22:40|2:251
22:41|2:277,9:11,9:5
22:42,22:43|38:12,38:13/50:12,50:13\n
22:42|3:184,29:18,35:4,35:25
22:44|13:32
22:45|22:48
22:53|2:176,41:52
22:61|31:29,35:13,57:6
22:62|31:30\n
22:63|35:27,39:21
22:65|31:20
22:69|2:113
22:71|16:73
22:72|8:31,10:15,19:73,31:7,34:43,45:25,46:7
22:78|8:40
