23:5,23:6,23:7,23:8,23:9,23:10|70:29,70:30,70:31,70:32,70:33,70:34/
23:21|16:66
23:22|40:80\n
23:23|7:59,11:25
23:24|28:36,41:14
23:24|7:60,7:66,7:90,11:27,23:33
23:26,23:27|23:39,23:40/
23:27|11:40
23:27|11:37
23:31|6:6,23:42
23:37|6:29,45:24\n
23:43|15:5\n
23:51|34:11\n
23:52|21:92
23:53|21:93
23:53|30:32\n
23:57|21:28
23:66|23:105,45:31
23:70|43:78\n
23:79|67:24\n
23:82|17:98,17:49,27:67,37:16,37:53,56:47\n
23:83|27:68\n
23:96|41:34
23:102,23:103|7:8,7:9/
23:116|20:114
24:5|2:160,3:89\n
24:21|2:208,2:168
24:27|33:53
24:34|3:138,5:46\n
24:34|24:46
24:37|21:73
24:38|4:173,35:30,42:26
24:43|13:13,30:48
24:53|5:53,6:109,16:38,35:42
24:59|2:242,3:103,5:89
24:61|48:17
25:3|5:76,6:71,7:188,10:49,10:106,13:16,20:89,21:66,25:55,34:42
25:7|25:20
25:9|17:48,17:21\n
