36:29|36:49,36:53
36:31|6:6,17:17,20:128,32:26,38:3
36:32|36:53
36:46|6:4\n
36:47|19:73,29:12,46:11
36:48|10:48,21:38,27:71,32:28,34:29,67:25\n
36:51|39:68
36:63|52:14,55:43\n
36:76|2:77,11:5,16:23,64:4
36:76|10:65
36:77|16:4
37:27|37:50,68:30\n
37:16|17:98,17:49,23:82,27:67,37:53,56:47\n
37:30|34:21
37:40,37:41|37:74,37:75/37:128,37:129/37:160,37:160
37:53|17:98,17:49,23:82,27:67,37:16,56:47
37:59|44:35\n
37:76|21:76,37:115\n
37:85|26:70\n
37:98|21:70\n
37:100|26:83\n
37:102|28:27
37:115|21:76,37:76\n
37:126|26:26,44:8\n
37:149|52:39\n
38:4|50:2
38:9|52:37
38:14|50:14\n
38:25|38:40\n
38:41|21:83
38:43|21:84
38:61|7:38
38:71|15:28
38:74|2:34,7:11,15:31,17:61,18:50,20:116
38:79|7:14,15:36
38:80|7:15,15:37
38:85|7:18,11:119
38:86|25:57
39:2|39:11
39:3|42:6
39:7|6:164,17:15,35:18
39:7|6:164
39:8|10:12,30:33,39:49
39:10|16:30
39:13|6:15,10:15\n
39:15|42:45
39:21|57:20
39:21|22:63,35:27
39:23|13:33,39:36,40:33
38:26|68:33
39:25|34:45
39:27|30:58
