7:88|7:75,7:109,7:127,7:66
7:90|7:60,7:66,11:27,23:24,23:33
7:91|7:78,11:67,11:94\n
7:93|7:79
7:94|6:42\n
7:101|5:32,7:37,10:74
7:103|7:86,10:75,27:14
7:106,7:107,7:108|26:31,26:32,26:33/
7:109|7:127
7:109,7:110|26:34,26:35/
7:111,7:112|26:36,26:37/
7:113|26:41
7:114|26:42\n
7:115|20:65
7:116|10:81,20:66,26:44
7:117,7:118|26:45,26:46/
7:120,7:121,7:122|20:70/26:46,26:47,26:48
7:123|20:71,26:49
7:125|26:50\n
7:135|43:50\n
7:138|10:90
7:141|2:49,14:6
7:150|20:86
7:159|7:181\n
7:160|7:168,2:57,2:60
7:161|2:58
7:162|2:59
7:165|6:44
7:169|6:32,12:109
7:188|5:76,6:71,10:49,10:106,13:16,20:89,21:66,25:3,25:55,34:42
7:200|41:36\n
7:205|7:55
8:7|8:8
8:10|3:126\n
8:15|8:45
8:22|8:55
8:31|10:15,19:73,22:72,31:7,34:43,45:25,46:7
8:29|2:271,48:5,66:8
8:39|2:193
8:40|22:78
